,admiración,sorpresa,optimismo,afecto,ira,miedo,tristeza,calma,alegría,odio,asco
0,"{""Username"":""Cirina"", ""pronoun"":""elle"", ""message"":""Esta mañana un socio me dio crédito por hacer un buen trabajo este trimestre.""}","{""Username"":""Mahjouba"", ""pronoun"":""elle"", ""message"":""""Recibí un regalo sorpresa de un desconocido amable. Su generosidad me llenó de alegría"".""}","{""Username"":""Milda"", ""pronoun"":""ella"", ""message"":""Recibí un mensaje motivante de alguien que admiro, que me ayudó a mantenerme optimista.""}","{""Username"":""Damari"", ""pronoun"":""ella"", ""message"":""siento que le he dado la mitad de la responsabilidad de cuidar a mis hijos""}","{""Username"":""Geremias"", ""pronoun"":""el"", ""message"":""La negligencia gubernamental y la falta de acción para abordar los problemas sociales me enfurecen.""}","{""Username"":""Ghizela"", ""pronoun"":""el"", ""message"":""El sentimiento de miedo me invade cada vez que tengo que tomar una decisión importante.""}","{""Username"":""Itoitz"", ""pronoun"":""el"", ""message"":""Me siento sumido en la tristeza, como si no hubiera luz al final del túnel.""}","{""Username"":""Mika"", ""pronoun"":""elle"", ""message"":""Sentada en mi estudio, la luz tenue me envuelve y siento una calma profunda.""}","{""Username"":""Ismenia"", ""pronoun"":""el"", ""message"":""¿Qué pasaría si... el Metro LRT pasara por encima de Walterdale?!?! 😂 #yeg #levedad""}","{""Username"":""Dieudonne"", ""pronoun"":""elle"", ""message"":""""Me llena de frustración ver cómo algunas personas disfrutan causando sufrimiento a los demás.""""}","{""Username"":""Prabhjot"", ""pronoun"":""ella"", ""message"":""Me aterró imaginar el mal que sería capaz de hacer esta criatura, sentí profundamente asco.""}"
1,"{""Username"":""Feliciana"", ""pronoun"":""ella"", ""message"":""Admiré la habilidad de mi amigo para resolver un rompecabezas complicado en tan poco tiempo.""}","{""Username"":""Chang"", ""pronoun"":""el"", ""message"":""estoy aquí hoy después de mirar mi cuenta bancaria esta mañana y sentirme sorprendido""}","{""Username"":""Ilja"", ""pronoun"":""elle"", ""message"":""El optimismo me impulsa a nunca rendirme y seguir luchando por lo que quiero.""}","{""Username"":""Sucaina"", ""pronoun"":""elle"", ""message"":""Un amigo recibió una canasta de regalo que le envié y quedó muy satisfecho.""}","{""Username"":""Aser"", ""pronoun"":""ella"", ""message"":""@user @user Ella es una mentirosa y probablemente esté en la nómina de Soros""}","{""Username"":""Asim"", ""pronoun"":""elle"", ""message"":""No puedo evitar sentirme nervioso cuando estoy a punto de tomar una decisión importante.""}","{""Username"":""Preslava"", ""pronoun"":""elle"", ""message"":""me siento cojo todo lo que uso son lápices de colores para colorear pokemon""}","{""Username"":""Euclides"", ""pronoun"":""ella"", ""message"":""Al practicar mindfulness, me sumergí en el presente y experimenté una calma profunda y serena.""}","{""Username"":""Oceania"", ""pronoun"":""elle"", ""message"":""Puedo sentir su alegría y entusiasmo por la oportunidad de recibir estas ordenanzas vitales""}","{""Username"":""Mircho"", ""pronoun"":""el"", ""message"":""Me molesta la falta de educación y cortesía en el trato con los demás.""}","{""Username"":""Tavita"", ""pronoun"":""ella"", ""message"":""Ver cómo se pudre la comida en la nevera me causa un profundo asco.""}"
2,"{""Username"":""Adelmo"", ""pronoun"":""el"", ""message"":""Después de varios años obtuve un aumento basado en el mérito en el trabajo.""}","{""Username"":""Kalifa"", ""pronoun"":""ella"", ""message"":""La sorpresa en su voz era inconfundible cuando le dije que íbamos a tener gemelos.""}","{""Username"":""Yurema"", ""pronoun"":""ella"", ""message"":""Estoy emocionado porque sé que el futuro está lleno de posibilidades y sorpresas maravillosas.""}","{""Username"":""Zak"", ""pronoun"":""el"", ""message"":""Mi esposa y yo dimos un largo paseo por el parque detrás de nuestra casa.""}","{""Username"":""Clodomiro"", ""pronoun"":""el"", ""message"":""@usuario, eres un verdadero idiota, me haces explotar de rabia con tus comentarios estúpidos.""}","{""Username"":""Rozalina"", ""pronoun"":""ella"", ""message"":""Me aterra la idea de enfermar gravemente y no tener acceso a atención médica adecuada.""}","{""Username"":""Khaira"", ""pronoun"":""elle"", ""message"":""Mis lágrimas son ríos de tristeza que fluyen sin cesar, inundando mi mundo interior.""}","{""Username"":""Leonor"", ""pronoun"":""elle"", ""message"":""La calma me enseñó a relajar mi cuerpo y mente para encontrar el equilibrio.""}","{""Username"":""Estelia"", ""pronoun"":""elle"", ""message"":""Estoy alegre porque encontré un nuevo hobby que me apasiona y me llena de alegría.""}","{""Username"":""Yongfen"", ""pronoun"":""el"", ""message"":""No soporto a las personas que siempre buscan controlar y dominar a los demás.""}","{""Username"":""Franchesca"", ""pronoun"":""ella"", ""message"":""La sensación de pisar algo blando y húmedo despierta en mí un gran asco.""}"
3,"{""Username"":""Guillaume"", ""pronoun"":""ella"", ""message"":""Estaba tan feliz cuando conseguí un nuevo trabajo, porque estuve sin trabajo durante semanas.""}","{""Username"":""Aynoa"", ""pronoun"":""ella"", ""message"":""Me sorprendió encontrar un antiguo álbum de fotos que revive recuerdos de mi infancia.""}","{""Username"":""Shayla"", ""pronoun"":""el"", ""message"":""Cada día es una oportunidad para aprender y crecer, eso me llena de optimismo.""}","{""Username"":""Britany"", ""pronoun"":""elle"", ""message"":""Ver lo feliz que estaba mi hija en su fiesta de cumpleaños me hizo feliz.""}","{""Username"":""Lyda"", ""pronoun"":""elle"", ""message"":""Me pone furioso cuando alguien insulta o menosprecia a las personas por su apariencia física.""}","{""Username"":""Reiner"", ""pronoun"":""el"", ""message"":""Siento miedo e incertidumbre al escuchar pasos desconocidos en el pasillo de mi casa.""}","{""Username"":""Coromoto"", ""pronoun"":""elle"", ""message"":""""Mi tristeza es como un océano sin fin, donde me hundo sin encontrar la superficie.""""}","{""Username"":""Om"", ""pronoun"":""elle"", ""message"":""La calma me ayuda a recuperar la energía y mantener un equilibrio en mi vida.""}","{""Username"":""Yadiel"", ""pronoun"":""elle"", ""message"":""Felicitaciones, Francisco. Su arduo trabajo finalmente da sus frutos. Estoy muy feliz por tu promoción.""}","{""Username"":""Maki"", ""pronoun"":""el"", ""message"":""Siento un odio profundo por aquellos que distorsionan la realidad en los medios de comunicación.""}","{""Username"":""Loay"", ""pronoun"":""elle"", ""message"":""La combinación de sudor y mal olor en el transporte público es muy desagradable.""}"
4,"{""Username"":""Stanislawa"", ""pronoun"":""ella"", ""message"":""Encontré $en la lavadora. Estoy increíblemente arruinado en este momento, así que esto fue increíble.""}","{""Username"":""Svajunas"", ""pronoun"":""elle"", ""message"":""¡Oh Dios mío! ¡Me acabo de ganar un viaje todo incluido a Las Vegas!""}","{""Username"":""Xueping"", ""pronoun"":""elle"", ""message"":""Ayer tuve una gran entrevista de trabajo y estoy optimista de que conseguiré el trabajo.""}","{""Username"":""Jia"", ""pronoun"":""elle"", ""message"":""Pasar tiempo con mi pareja en la playa, disfrutando del sol y la brisa marina.""}","{""Username"":""Abdelrhani"", ""pronoun"":""el"", ""message"":""Siento una rabia intensa cuando veo cómo se pisotean los derechos fundamentales de las personas.""}","{""Username"":""Szabolcs"", ""pronoun"":""el"", ""message"":""Me asusta el ruido de las sirenas de ambulancia. Siempre pienso en tragedias y accidentes.""}","{""Username"":""Tyrone"", ""pronoun"":""el"", ""message"":""La tristeza se refugia en mi alma, dejando una huella imborrable en mi ser.""}","{""Username"":""Melinda"", ""pronoun"":""el"", ""message"":""Escribir en mi diario personal me ayuda a procesar mis emociones y encontrar calma interior.""}","{""Username"":""Hristov"", ""pronoun"":""elle"", ""message"":""No es de extrañar que puedas controlar tu voz tan bien. Eres un cantante profesional.""}","{""Username"":""Brahim"", ""pronoun"":""el"", ""message"":""@user Necesitamos mejorar nuestro país, escuelas, vecindarios, hospitales, prisiones, expulsando a los ilegales. #ConstruirElMalditoMuro #ConstruirEseMuro""}","{""Username"":""Cathaisa"", ""pronoun"":""el"", ""message"":""Sentí un asco profundo al pensar en todos los gérmenes presentes en una superficie.""}"
5,"{""Username"":""Xiaolei"", ""pronoun"":""ella"", ""message"":""Hice con éxito unos deliciosos tacos en casa con los ingredientes que compré hoy.""}","{""Username"":""Aleena"", ""pronoun"":""ella"", ""message"":""Me sorprendió descubrir que mi hermano pequeño tiene un talento oculto para el dibujo.""}","{""Username"":""Assana"", ""pronoun"":""ella"", ""message"":""Conocí a una persona muy interesante y estoy emocionado por lo que pueda surgir.""}","{""Username"":""Haider"", ""pronoun"":""el"", ""message"":""Empecé a hablar con una chica nueva y saldremos a tomar algo más tarde hoy.""}","{""Username"":""Lorea"", ""pronoun"":""elle"", ""message"":""Me molesta que las personas busquen siempre una excusa en lugar de asumir su responsabilidad.""}","{""Username"":""Beralides"", ""pronoun"":""elle"", ""message"":""Me siento inseguro y con miedo a no encajar en un nuevo grupo de amigos.""}","{""Username"":""Ioachim"", ""pronoun"":""ella"", ""message"":""Me entristece ver cómo el amor se desvanece y deja espacio a la indiferencia.""}","{""Username"":""Neyzan"", ""pronoun"":""el"", ""message"":""La calma me permite recargar energías y enfrentar los desafíos de la vida con serenidad.""}","{""Username"":""Yasen"", ""pronoun"":""elle"", ""message"":""Recuerdo una sensación totalmente diferente al haber sido un fiel observador de Dukes mientras crecía.""}","{""Username"":""Bentejui"", ""pronoun"":""ella"", ""message"":""Siento un odio profundo hacia los corruptos y aquellos que abusan de su poder.""}","{""Username"":""Goizargi"", ""pronoun"":""ella"", ""message"":""El verdadero horror de toda la historia fue sentir asco con toda mi alma.""}"
6,"{""Username"":""Umair"", ""pronoun"":""elle"", ""message"":""Terminando mi presentación en el trabajo y puedo relajarme por el resto del día.""}","{""Username"":""Melanie"", ""pronoun"":""el"", ""message"":""Me llevé una grata sorpresa al encontrarme con un viejo amigo en la calle.""}","{""Username"":""Abelio"", ""pronoun"":""ella"", ""message"":""Llegar a casa después de un largo día y recibir el abrazo de mi familia.""}","{""Username"":""Jianfu"", ""pronoun"":""ella"", ""message"":""Mi abuela siempre me cuenta historias de amor de su juventud, me llena de ternura.""}","{""Username"":""Viktoriya"", ""pronoun"":""el"", ""message"":""Las faltas de ortografía constantes me irritan y dan la sensación de falta de profesionalismo.""}","{""Username"":""Dilcia"", ""pronoun"":""ella"", ""message"":""Siento angustia por una familia que fue agredida violada y asesinada sistemáticamente por ti""}","{""Username"":""Natalie"", ""pronoun"":""ella"", ""message"":""""La tristeza habita en mi interior, como un visitante indeseado que se niega a marcharse.""""}","{""Username"":""Lleir"", ""pronoun"":""ella"", ""message"":""Practicar la respiración profunda me ayuda a encontrar la calma interior y reencontrarme conmigo mismo.""}","{""Username"":""Lourenco"", ""pronoun"":""el"", ""message"":""Bailé y canté en una fiesta con mis amigos y eso me llenó de alegría.""}","{""Username"":""Guoping"", ""pronoun"":""elle"", ""message"":""Me irrita que la gente sea tan egoísta y solo piense en sí misma.""}","{""Username"":""Chahrazad"", ""pronoun"":""ella"", ""message"":""El agujero en la carne estaba cubierto por una gruesa capa de escamas, provocándome asco.""}"
7,"{""Username"":""Iliass"", ""pronoun"":""el"", ""message"":""Hice una taza de café con la que experimenté y realmente pude mejorar el sabor.""}","{""Username"":""Mustansar"", ""pronoun"":""el"", ""message"":""Me sorprende que hayas superado tu miedo a las alturas y hayas saltado en paracaídas.""}","{""Username"":""Odair"", ""pronoun"":""elle"", ""message"":""Cada pequeño logro en mi vida refuerza mi optimismo y me motiva a seguir adelante.""}","{""Username"":""Zully"", ""pronoun"":""ella"", ""message"":""Cuando mi pareja me sorprendió con una cena romántica, sentí un gran afecto hacia él.""}","{""Username"":""Cristhian"", ""pronoun"":""el"", ""message"":""No puedo soportar que mi hermano siempre se burle de mí en frente de todos.""}","{""Username"":""Adolfo"", ""pronoun"":""el"", ""message"":""La idea de estar solo en un lugar desconocido me provoca un miedo desbordante.""}","{""Username"":""Stelica"", ""pronoun"":""el"", ""message"":""me siento solo un enlace de conteo de publicaciones de clase href http sporkgasm""}","{""Username"":""Modi"", ""pronoun"":""ella"", ""message"":""Realizar ejercicios de respiración profunda me ayuda a relajar mi mente y encontrar la calma.""}","{""Username"":""Ledicia"", ""pronoun"":""ella"", ""message"":""Me puse mi canción favorita y no puedo evitar sonreír y disfrutar del momento.""}","{""Username"":""Gervasio"", ""pronoun"":""ella"", ""message"":""Me indigna que las mentiras se conviertan en moneda de cambio en la política.""}","{""Username"":""Constancio"", ""pronoun"":""el"", ""message"":""No soporto ver a alguien masticando chicle con la boca abierta, me da asco.""}"
8,"{""Username"":""Jinying"", ""pronoun"":""elle"", ""message"":""Hoy me dijeron en el trabajo que podía tener este fin de semana libre.""}","{""Username"":""Inga"", ""pronoun"":""el"", ""message"":""Me sorprendió descubrir que mi mejor amiga tenía un talento oculto para tocar el piano.""}","{""Username"":""Wesley"", ""pronoun"":""ella"", ""message"":""Conocí a una persona nueva y tuvimos una conexión instantánea, estoy emocionado de conocerla mejor.""}","{""Username"":""Jocelyn"", ""pronoun"":""el"", ""message"":""Ver a mi tía y a su esposo revelar el género de su nuevo bebé""}","{""Username"":""Armida"", ""pronoun"":""el"", ""message"":""La ira me invade cuando veo la corrupción y la impunidad en la política.""}","{""Username"":""Vitalijs"", ""pronoun"":""elle"", ""message"":""Un escalofrío recorrió mi espalda al escuchar unas voces susurrantes provenientes de mi armario.""}","{""Username"":""Magdalena"", ""pronoun"":""ella"", ""message"":""La tristeza me enreda como una telaraña, haciendo que cada movimiento sea una lucha constante.""}","{""Username"":""Monico"", ""pronoun"":""el"", ""message"":""La caricia suave de una pluma me envuelve en una sensación de calma profunda.""}","{""Username"":""Malick"", ""pronoun"":""elle"", ""message"":""¡Lucía, ven aquí! Puedo ver el lago que está en el centro del parque.""}","{""Username"":""Harvinder"", ""pronoun"":""el"", ""message"":""Me enoja ver cómo algunas personas menosprecian a los demás por su apariencia física.""}","{""Username"":""Shakil"", ""pronoun"":""ella"", ""message"":""El olor a pies sudados contenidos en zapatos cerrados me produce un asco insoportable.""}"
9,"{""Username"":""Liyu"", ""pronoun"":""elle"", ""message"":""Superé mi meta mensual de HIT desde que comencé con Turking el año pasado.""}","{""Username"":""Seddik"", ""pronoun"":""el"", ""message"":""Me sorprendió gratamente descubrir que mi madre había guardado todas mis dibujos de la infancia.""}","{""Username"":""Timur"", ""pronoun"":""el"", ""message"":""Mantengo una actitud positiva ante los cambios, el optimismo me ayuda a adaptarme y crecer.""}","{""Username"":""Estebe"", ""pronoun"":""ella"", ""message"":""Recibir una carta de amor inesperada me hizo sentir un afecto profundo hacia mi pareja.""}","{""Username"":""Shasha"", ""pronoun"":""elle"", ""message"":""Me llena de ira ver cómo algunos irresponsables no recogen las heces de sus perros.""}","{""Username"":""Andrian"", ""pronoun"":""ella"", ""message"":""Sentí un miedo irracional al ver sombras moviéndose en mi habitación sin explicación alguna.""}","{""Username"":""Segundo"", ""pronoun"":""elle"", ""message"":""Es triste ver cómo la indiferencia y la violencia siguen afectando a nuestra sociedad.""}","{""Username"":""Soumaia"", ""pronoun"":""el"", ""message"":""Una simple caminata alrededor del vecindario me ayuda a encontrar la calma que necesito.""}","{""Username"":""Majid"", ""pronoun"":""el"", ""message"":""Perfecto . Así que puedes audicionar este fin de semana aquí en mi casa.""}","{""Username"":""Morten"", ""pronoun"":""el"", ""message"":""Me enoja demasiado que las personas sean irresponsables y no cumplan con sus compromisos.""}","{""Username"":""Solmira"", ""pronoun"":""el"", ""message"":""La repulsión profunda que sintió por aquel acto tan reprobable le causó un asco tremendo.""}"
